,index,FACS.selection,age,batch,cell,cell_ontology_class,cell_ontology_id,cellid,free_annotation,method,mouse.id,plate,sex,subtissue,tissue,well,n_genes,n_counts,louvain,cluster_names
2125,J3.MAA000508.3_9_M.1.1-1,nan,3m,1,J3.MAA000508.3_9_M.1.1,T cell,CL:0000084,nan,Cd3e T cell,facs,3_9_M,nan,male,NA,Spleen,nan,1315,143627,1,1_T cell
2126,J3.MAA000559.3_8_M.1.1-1,nan,3m,1,J3.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1543,317987,0,0_B cell
2127,J3.MAA000776.3_10_M.1.1-1,nan,3m,1,J3.MAA000776.3_10_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_10_M,nan,male,NA,Spleen,nan,2548,486747,2,2_B cell
2129,J4.B000971.3_39_F.1.1-1,nan,3m,1,J4.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1935,409107,4,4_B cell
2130,J4.B001750.3_38_F.1.1-1,nan,3m,1,J4.B001750.3_38_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_38_F,nan,female,NA,Spleen,nan,2051,830064,11,11_B cell
2131,J4.MAA000508.3_9_M.1.1-1,nan,3m,1,J4.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,2173,330472,5,5_B cell
2132,J4.MAA000559.3_8_M.1.1-1,nan,3m,1,J4.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1440,262975,11,11_B cell
2133,J4.MAA000779.3_11_M.1.1-1,nan,3m,1,J4.MAA000779.3_11_M.1.1,NK cell,CL:0000623,nan,GZMK NKG7 Tyrobp NK cell,facs,3_11_M,nan,male,NA,Spleen,nan,964,33077,12,12_NK cell
2134,J5.B000971.3_39_F.1.1-1,nan,3m,1,J5.B000971.3_39_F.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_39_F,nan,female,NA,Spleen,nan,1691,658398,5,5_B cell
2135,J5.MAA000508.3_9_M.1.1-1,nan,3m,1,J5.MAA000508.3_9_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_9_M,nan,male,NA,Spleen,nan,1648,300361,3,3_B cell
2136,J5.MAA000559.3_8_M.1.1-1,nan,3m,1,J5.MAA000559.3_8_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_8_M,nan,male,NA,Spleen,nan,1474,226792,4,4_B cell
2137,J5.MAA000779.3_11_M.1.1-1,nan,3m,1,J5.MAA000779.3_11_M.1.1,B cell,CL:0000236,nan,CD79a B cell,facs,3_11_M,nan,male,NA,Spleen,nan,862,14164,3,3_B cell
